Cluster,PDB,pKd
A,1a9m,6.92
A,1a94,7.85
A,1c70,10.30
A,2aod,5.66
A,1hvs,10.30
A,1hvr,9.51
A,1ebw,9.05
A,1hvh,7.96
A,1hvj,11.40
A,1eby,9.70
A,1ebz,9.40
A,2qd7,9.10
A,2qd6,8.68
A,2qd8,9.07
A,1nh0,9.74
A,1hos,8.55
A,1bv9,8.96
A,1bv7,9.30
A,1zp8,8.77
A,1zpa,8.40
A,1aaq,8.40
A,2f80,8.18
A,2f81,10.52
A,1ec3,9.04
A,1ec2,10.00
A,1ec1,8.92
A,1ec0,8.49
A,1sdt,9.27
A,1sdu,10.07
A,1sdv,8.74
A,2uy0,6.92
A,2avv,9.26
A,2avq,4.39
A,2avs,7.57
A,2avm,5.70
A,2avo,8.85
A,1gnn,5.68
A,1gno,7.70
A,1gnm,6.25
A,1hxb,9.92
A,1d4h,10.00
A,1hxw,10.82
A,2ien,9.00
A,2ieo,8.49
A,2uxz,8.48
A,2aqu,9.32
A,2hs2,8.31
A,1hih,8.05
A,2idw,8.89
A,2psv,7.24
A,2psu,7.62
A,2q5k,11.30
A,1dmp,9.55
A,1izh,7.70
A,1izi,6.59
A,1a30,4.30
A,1mrx,7.26
A,1ohr,8.70
A,3cyw,7.77
A,1hvi,10.92
A,1hvk,10.96
A,1hvl,9.95
A,1sgu,5.37
A,1msn,9.09
A,1hpx,11.26
A,3aid,6.86
A,2pwr,6.59
A,1qbs,9.47
A,1g2k,7.96
A,2hs1,8.48
A,7upj,8.49
A,2o4p,10.72
A,2q54,9.01
A,2q55,8.69
A,1msm,10.48
A,2aog,6.28
A,1iiq,7.48
A,1sh9,6.03
A,2qci,8.34
A,2pqz,5.67
A,1g35,8.14
A,1tcx,6.95
A,1ajv,7.72
A,1ajx,7.91
A,1ody,8.10
A,2r38,7.44
A,1d4y,11.10
A,1d4l,8.77
A,1d4j,8.36
A,2r3t,5.85
A,2r3w,6.89
A,2cej,8.62
A,2cen,8.30
A,2r5p,8.48
A,1z1r,9.22
A,1z1h,8.40
A,1kzk,10.39
A,1t7j,8.70
A,2aoc,4.89
A,2aoe,7.62
A,2qhz,7.28
A,2pwc,6.57
A,1qbr,10.57
A,1qbt,10.62
A,1qbu,10.24
A,1dif,10.66
A,1b6k,8.74
A,1b6j,7.92
A,1b6m,8.40
A,1b6l,8.30
A,2i4x,10.54
A,2i4w,11.59
A,2i4v,10.21
A,2i4u,11.57
A,2q64,8.52
A,2i4d,11.68
A,2q63,7.18
A,2hb3,11.35
A,1hpo,9.22
A,1hpv,9.22
A,1hps,9.22
A,2fgu,9.18
A,2fgv,6.12
A,3d20,8.30
A,1aid,4.82
A,1d4k,9.22
A,1d4i,8.85
A,1mtr,8.40
A,3d1z,8.80
A,3d1x,8.66
A,3d1y,8.22
A,2p3b,8.48
A,2p3a,7.96
A,2bpv,7.67
A,2bpy,7.40
A,2qnq,6.11
A,2qnp,6.41
A,2qnn,7.15
A,2bqv,8.05
A,1mrw,9.70
A,2f8g,8.70
A,2nmz,8.37
A,2nmy,8.37
A,2nmw,8.41
A,2qi0,7.38
A,2qi1,7.30
A,2qi3,10.20
A,2qi4,10.44
A,2qi5,10.85
A,2qi6,10.57
A,2qi7,10.21
A,3djk,10.59
A,1zsr,9.82
A,3bva,6.52
A,3bvb,5.49
A,1zsf,9.92
A,2z4o,9.57
A,2i0a,11.40
A,1hbv,6.37
A,1lzq,8.39
A,2nnp,8.37
A,2o4s,10.51
A,2o4k,10.46
A,2o4l,9.22
A,2o4n,7.82
A,2nnk,8.37
A,3bgb,6.05
A,3bgc,5.02
A,3cyx,8.00
A,2qhy,7.48
A,1mes,7.70
A,1met,9.40
A,1pro,11.30
A,1m0b,8.82
A,2r43,6.00
A,2pk6,10.89
A,2pk5,10.70
A,1w5y,8.48
A,1w5x,8.40
A,1w5w,8.80
A,1w5v,8.15
A,2pym,6.82
A,2pyn,7.57
A,1bdq,6.34
A,1bwa,7.60
A,1bwb,8.42
A,1hwr,8.33
A,1sbg,7.74
B,1eb2,6.01
B,1f0t,6.00
B,1o2w,5.85
B,1o2s,5.47
B,1o2q,7.68
B,1o2z,6.11
B,1o2x,5.85
B,1o2n,6.09
B,1o2o,6.36
B,1o2j,6.92
B,1o2h,7.17
B,1oyq,6.96
B,1o3d,7.13
B,1o3f,7.96
B,1o3h,7.30
B,1o3k,6.77
B,1o3j,6.77
B,1o30,6.77
B,1o33,5.74
B,1o36,5.96
B,1o38,6.82
B,2bza,2.80
B,1ghz,4.80
B,1gi1,5.47
B,1gi4,7.19
B,1g3c,5.80
B,1g3b,5.74
B,1g3d,5.55
B,1g36,7.17
B,1gj6,7.00
B,1bju,4.80
B,1ce5,4.74
B,1utn,3.49
B,1uto,2.27
B,1qb9,7.44
B,1qb1,6.77
B,1qb6,6.06
B,1qbn,5.85
B,1qbo,7.74
B,1g3e,5.38
B,2fx6,3.70
B,1c1r,7.63
B,1o3i,7.30
B,1k1n,6.82
B,1k1m,7.40
B,1k1l,6.90
B,1k1j,7.55
B,1k1i,6.58
B,2j9n,4.70
B,1tng,2.93
B,1tni,4.00
B,1tnh,3.37
B,1tx7,4.60
B,1pph,5.92
B,1ppc,6.16
B,1bjv,5.54
B,1v2r,3.55
B,1c5s,6.00
B,1c5q,6.36
B,1c5p,4.68
B,1c5t,4.10
B,1v2o,4.73
B,1v2n,5.90
B,1v2l,4.29
B,2tpi,4.31
B,1f0u,7.16
B,1ql7,5.00
B,1v2s,4.17
B,1v2q,4.13
B,1v2w,4.01
B,1v2u,3.37
B,1v2t,4.71
B,1v2k,6.19
B,1v2j,3.25
C,1g54,8.82
C,1g53,9.04
C,1g52,9.54
C,1i9m,8.48
C,1i9l,8.48
C,1i9o,8.42
C,1i9n,8.66
C,1i9p,8.41
C,2h15,5.67
C,1i9q,8.41
C,3dd8,7.85
C,1cnx,7.37
C,1cny,7.85
C,1cnw,7.72
C,2h4n,8.70
C,1g46,8.80
C,2pow,7.20
C,2pov,7.12
C,2pou,7.42
C,3b4f,8.14
C,1g1d,9.44
C,3bl1,5.60
C,3bl0,6.92
C,1ze8,7.68
C,1if8,9.64
C,1if7,10.52
C,1avn,3.90
C,1okl,6.03
C,1xq0,6.34
C,2ez7,4.36
C,2osm,6.20
C,1xpz,7.08
C,2q1q,8.15
C,1bnq,9.49
C,1bnw,9.08
C,1bnv,8.77
C,1bnu,9.70
C,1bnt,9.80
C,1bnn,10.00
C,1bn3,9.89
C,1bn1,9.34
C,3caj,8.10
C,1bn4,9.31
C,1ydb,8.24
C,1yda,6.55
C,1ydd,7.07
C,1bcd,8.70
C,2nnv,7.52
C,2nns,6.05
C,2nng,5.36
C,2nno,6.40
C,1g4o,8.25
C,1g4j,8.70
C,1g48,8.41
C,1g45,8.64
C,2osf,3.83
C,1ttm,7.35
D,1a4w,5.92
D,1jwt,7.85
D,1w7g,5.10
D,2bxt,8.52
D,2r2m,7.33
D,1nt1,8.89
D,3c1k,9.44
D,1oyt,7.24
D,1ta2,8.52
D,1ta6,9.13
D,1zgi,5.34
D,2jh0,8.70
D,2jh5,6.44
D,2jh6,7.77
D,1ghy,8.10
D,1ghv,4.35
D,1ghw,4.20
D,1d9i,9.11
D,2cf9,7.82
D,2cf8,8.10
D,1t4v,7.68
D,1g30,6.85
D,1g32,6.11
D,1d4p,6.30
D,1qbv,5.39
D,2bvr,3.70
D,2bvs,4.10
D,1d6w,5.96
D,1c1v,7.64
D,1c1u,8.25
D,1z71,9.18
D,1fpc,7.00
D,1tom,8.30
D,1sl3,11.85
D,1k21,8.38
D,1k22,8.40
D,1mu8,9.00
D,1c4v,10.80
D,1mu6,8.38
D,1c4u,10.37
D,1mue,8.64
D,1d3d,9.09
D,1d3p,7.39
D,1nm6,10.05
D,2cn0,7.66
D,1bcu,3.28
D,3bv9,5.36
D,1o5g,4.96
D,1c5o,3.49
D,1c5n,4.70
D,1vzq,7.44
D,1sb1,6.89
D,1bhx,6.84
E,1c88,5.29
E,1c84,5.00
E,1c86,4.70
E,1c87,4.20
E,1c83,4.85
E,1kav,5.82
E,1ecv,4.85
E,1pyn,5.49
E,1g7g,6.60
E,1g7f,5.47
E,1onz,5.10
E,1ony,6.77
E,2h4k,5.49
E,2h4g,6.52
E,2b07,6.43
E,1bzj,4.66
E,1bzc,4.92
E,1qxk,5.05
E,2hb1,3.80
E,2nta,4.80
E,2nt7,6.52
E,2qbq,7.44
E,2qbp,8.40
E,2qbs,6.68
E,2qbr,6.33
E,1nny,7.66
E,1xbo,6.04
E,1no6,4.41
E,1nl9,5.96
E,1nz7,7.12
E,2azr,3.64
E,2f6t,4.62
F,1fjs,9.96
F,2bok,6.55
F,2w26,9.40
F,1mq5,9.00
F,1mq6,11.15
F,1z6e,9.72
F,2p95,9.37
F,2ra0,7.80
F,3cs7,10.68
F,2bq7,7.05
F,2p16,10.10
F,2j4i,9.00
F,2uwp,6.81
F,2cji,8.22
F,1f0s,7.74
F,1f0r,7.66
F,1nfw,8.96
F,1nfy,8.89
F,1nfx,8.52
F,2boh,8.52
F,2j2u,7.33
F,1lpk,7.55
F,1lpz,7.60
F,2j34,7.82
F,1ksn,9.40
F,2uwo,8.70
F,2vh6,9.70
F,1ezq,9.05
F,1lpg,7.09
F,1xka,6.88
F,1g2l,7.24
F,1nfu,7.74
G,1sqt,6.20
G,1sqa,9.21
G,1sqo,7.46
G,1o5c,5.22
G,1w0z,7.68
G,1w13,8.70
G,1w11,8.22
G,1o3p,6.66
G,2r2w,4.47
G,1gi7,4.51
G,1gjd,5.22
G,1gjb,6.35
G,1gja,5.42
G,1gj7,7.89
G,1gj8,6.96
G,1owh,7.40
G,1owe,6.20
G,1ejn,5.62
G,1gjc,6.35
G,1f5k,3.74
G,1f5l,5.28
G,1vj9,7.55
G,1vja,7.70
G,1o5b,5.77
G,1o5a,6.42
G,1c5z,4.01
G,1c5y,4.20
G,1c5x,6.68
G,2vnt,8.00
H,1jev,6.89
H,1jet,7.25
H,1jeu,6.82
H,1qkb,7.35
H,1b32,7.10
H,1b3f,6.89
H,1b3g,6.70
H,1b3l,5.89
H,1b3h,6.21
H,2rkm,3.90
H,1b58,6.59
H,1b2h,4.54
H,1b1h,7.03
H,1b0h,6.70
H,1b05,7.12
H,1b6h,7.82
H,1b7h,8.02
H,1b52,7.12
H,1b51,7.37
H,1b5j,7.43
H,1b5h,6.01
H,1b5i,7.05
H,1b4z,5.23
H,1b4h,5.46
H,1b40,7.28
H,1b46,5.28
H,2olb,5.54
H,1qka,5.92
H,1b9j,5.96
I,2erz,5.66
I,1rej,8.30
I,1rek,6.70
I,1xh9,7.77
I,1xh7,6.82
I,1xh5,5.47
I,1xh4,7.47
I,1re8,9.52
I,1stc,8.10
I,1xh6,7.32
I,1q8t,4.76
I,1ydr,5.52
I,1yds,5.92
I,1ydt,7.32
I,2jds,8.20
I,1q8w,5.24
I,1q8u,5.96
J,2j79,5.96
J,2j78,6.42
J,2j75,6.65
J,2j77,4.89
J,2j7h,7.19
J,2j7e,7.32
J,2j7g,7.00
J,2j7f,6.35
J,2j7b,6.62
J,1oif,7.72
J,1w3j,6.32
J,2ces,7.25
J,2cet,8.02
J,2j7d,7.13
J,1uz1,6.89
J,2cbv,5.48
J,2cbu,5.68
K,1kel,7.28
K,1m7d,6.23
K,1m7i,5.40
K,2r0z,5.47
K,1igj,10.00
K,2cgr,7.28
K,1pz5,5.40
K,2pcp,8.70
K,1zea,5.22
K,1flr,10.00
K,2hkf,6.38
K,2dqt,7.72
K,2r1y,4.51
K,2r2b,4.20
K,2r23,3.72
K,2bmk,5.62
L,1om1,6.77
L,2oxd,6.82
L,2pvh,6.59
L,2pvj,8.10
L,2pvk,8.30
L,2pvl,7.62
L,2pvm,6.44
L,2oxy,6.52
L,2oxx,6.70
L,1zoh,7.00
L,1zoe,7.40
L,1zog,7.15
L,3be9,7.62
L,1m2p,6.11
L,1m2q,6.10
L,1m2r,6.46
M,2g8r,3.99
M,1o0h,5.92
M,1o0m,5.15
M,1o0n,4.09
M,1o0f,5.30
M,4rsk,4.32
M,1qhc,7.57
M,1jn4,4.95
M,1afl,6.28
M,1afk,6.62
M,1z6s,4.34
M,1u1b,7.80
M,1w4o,5.22
M,1w4p,4.74
M,1w4q,5.26
N,2tmn,5.89
N,1qf0,7.38
N,1qf1,7.32
N,1qf2,5.92
N,1y3g,7.40
N,1tmn,7.30
N,1tlp,7.55
N,5tln,6.37
N,4tln,3.72
N,1os0,6.03
N,1zdp,5.74
N,4tmn,10.17
N,5tmn,8.04
N,1z9g,5.64
O,1h1p,4.92
O,1h1s,8.22
O,1pye,6.41
O,1pxp,6.66
O,1pxo,8.70
O,1pxn,7.15
O,1b38,6.60
O,1b39,6.92
O,2exm,4.11
O,2fvd,8.52
O,1jsv,5.70
O,1e1x,5.89
O,1e1v,4.92
P,1xhy,6.18
P,1p1n,6.80
P,3fat,7.64
P,1p1o,5.76
P,1p1q,4.89
P,3dp4,7.37
P,1wvj,6.73
P,1syi,5.44
P,1syh,6.31
P,2p2a,6.12
P,1ftm,7.61
P,3bfu,6.27
P,3bft,6.49
Q,1yqj,8.14
Q,2ewa,7.94
Q,3d7z,7.92
Q,2zaz,6.40
Q,3d83,8.36
Q,3e93,8.85
Q,3e92,8.00
Q,1kv1,5.94
Q,2zb0,6.62
Q,2zb1,6.32
Q,2bak,7.43
Q,2baj,8.40
Q,2bal,6.31
R,3ckp,6.35
R,1m4h,9.52
R,2vkm,8.74
R,2fdp,7.59
R,2qmg,9.15
R,3bra,2.70
R,3buh,3.66
R,2p4j,8.96
R,3buf,3.10
R,3bug,3.18
R,2g94,9.52
R,1fkn,8.80
S,1s39,7.70
S,1s38,5.15
S,1r5y,6.46
S,1n2v,4.08
S,1enu,5.08
S,2qzr,7.26
S,1q65,5.46
S,1q66,5.77
S,1q63,5.85
S,1f3e,6.70
S,1k4g,5.85
S,1k4h,5.11
T,2er6,7.22
T,2er9,7.40
T,1epo,7.96
T,5er1,6.02
T,2v00,3.66
T,1gvx,7.22
T,1gvw,6.96
T,4er2,9.30
T,4er1,6.62
T,5er2,6.57
T,1ent,6.96
U,2f7p,6.60
U,2f7o,7.44
U,3ddg,6.00
U,3ddf,4.66
U,3d52,3.28
U,3d50,4.77
U,3d51,4.15
U,3d4y,5.70
U,3d4z,4.89
U,1ps3,2.28
V,1hdq,5.82
V,1cps,6.66
V,8cpa,9.15
V,1cbx,6.35
V,2ctc,3.89
V,2rfh,6.82
V,1iy7,6.19
V,6cpa,11.52
V,1f57,5.64
V,1hee,5.34
W,2wed,6.10
W,2web,5.12
W,2wec,3.96
W,1bxo,10.00
W,1bxq,7.38
W,1ppm,5.80
W,1ppl,8.55
W,1ppk,7.66
W,1apv,9.00
W,1apw,8.00
X,3bze,6.00
X,3bzf,4.52
X,2uwe,5.33
X,2v2w,5.66
X,2vlj,5.28
X,2vlr,5.31
X,1xr9,7.15
X,2jcc,4.81
X,1srg,5.30
X,1vwn,5.82
X,1str,4.77
X,1sts,5.00
X,1swr,6.92
X,1df8,9.70
X,1sld,6.57
X,1slg,3.90
X,2izl,6.00
X,2r6y,9.49
X,2r6w,9.36
X,1qkt,9.04
X,2pog,9.54
X,2b1v,5.74
X,1zky,6.25
X,2fai,6.24
X,2ayr,9.29
X,2qe4,7.96
X,1yc1,6.17
X,1yc4,6.55
X,2qg0,5.72
X,2uwd,8.35
X,2qfo,4.70
X,3ekr,7.52
X,3eko,6.70
X,2qg2,5.40
X,3d0b,6.54
X,1nvq,8.25
X,1nvs,7.82
X,1nvr,8.11
X,2br1,5.14
X,2brm,5.89
X,2brb,4.86
X,2c3l,5.07
X,2qhm,6.18
X,2c3j,6.18
X,1njc,5.55
X,1nja,6.31
X,1nje,3.80
X,1njd,5.57
X,1tsy,4.96
X,1jmf,5.77
X,1jmg,6.07
X,1jmi,6.06
X,1bp0,5.40
X,3cdb,7.02
X,3cda,7.58
X,3cd0,7.57
X,3cd7,7.84
X,3cd5,7.90
X,3ccw,4.87
X,3cct,7.56
X,3ccz,7.29
X,2boj,5.77
X,2jdu,6.72
X,2jdp,6.60
X,2jdy,4.37
X,2jdm,5.40
X,2jdn,5.56
X,2jdh,6.51
X,2jdk,6.54
X,3b65,9.27
X,3b67,8.85
X,3b66,8.60
X,3b68,8.40
X,1xow,9.28
X,3b5r,8.77
X,1z95,4.30
X,2ihq,8.49
X,1b8y,7.85
X,1usn,7.74
X,1hfs,8.70
X,1caq,7.72
X,1sln,6.64
X,1ciz,7.44
X,2d1o,7.70
X,2usn,6.51
X,3f1a,7.21
X,3f15,8.10
X,3f16,8.23
X,3f17,8.63
X,3f18,7.40
X,3f19,7.19
X,1rmz,8.00
X,2hu6,3.81
X,1d7j,3.30
X,1d7i,3.60
X,1j4r,7.72
X,1fkb,9.70
X,1fkh,8.15
X,1fki,7.00
X,1fkf,9.40
X,1fkg,8.00
X,1nhu,5.66
X,2d3z,6.64
X,1os5,6.85
X,3cj4,6.51
X,3cj2,4.85
X,3cj5,6.34
X,2d3u,6.92
X,2v2c,3.41
X,2j27,3.52
X,1trd,5.40
X,1iih,2.89
X,1kv5,4.22
X,4tim,2.16
X,2v2h,3.77
X,1e5j,4.00
X,1qi0,2.35
X,1h5v,3.93
X,1w3k,4.30
X,1w3l,6.28
X,8a3h,4.06
X,1ocq,5.19
X,220l,3.40
X,1lgw,4.00
X,1l83,3.40
X,1li2,4.04
X,1li3,4.25
X,1li6,3.80
X,2pu2,4.43
X,2r9x,4.85
X,2r9w,5.10
X,1xgj,6.00
X,1xgi,4.85
X,1l2s,4.59
X,3pcn,3.66
X,3pcj,7.22
X,3pck,6.70
X,3pce,2.00
X,3pcf,6.05
X,3pcg,2.30
X,1d09,7.57
X,2fzk,3.60
X,2fzc,2.70
X,2fzg,3.38
X,2h3e,5.70
X,1q95,7.57
X,1ele,6.85
X,1elb,7.15
X,1elc,6.66
X,1ela,6.36
X,1eld,6.70
X,1bma,4.59
X,1vot,6.60
X,1gpk,5.37
X,1gpn,6.48
X,1h23,8.35
X,1h22,9.10
X,1e66,9.89
X,2ha5,3.21
X,2ha6,4.32
X,2ha2,4.66
X,1n5r,5.66
X,2ha3,3.03
X,1q84,11.05
X,1kpm,5.80
X,1fv0,5.93
X,1sv3,4.74
X,2arm,8.13
X,1q7a,7.19
X,1jq8,6.00
X,1mh5,9.21
X,1mjj,8.74
X,1fl3,6.80
X,1uz8,4.96
X,1mj7,8.35
