Cluster,PDB,pKd
X,1q72,6.85
X,3ds9,7.39
X,2ima,6.52
X,3c8b,6.10
X,3c8a,6.18
X,3c88,6.80
X,3c89,6.07
X,1b8o,10.64
X,1vfn,5.60
X,1b8n,10.52
X,1lvu,5.32
X,1lv8,5.46
X,1v48,7.80
X,1bgq,8.57
X,2iwx,6.68
X,2cgf,6.41
X,1amw,4.54
X,2vwc,6.62
X,2vw5,8.52
X,1olu,4.41
X,1ols,5.82
X,1v1m,3.94
X,1v16,3.87
X,1v11,3.98
X,1olx,4.33
X,1ajp,2.23
X,1ajq,4.31
X,1ajn,2.63
X,1ai5,3.72
X,1ai4,2.50
X,1ai7,4.09
X,3std,11.11
X,2std,9.85
X,6std,8.64
X,4std,10.33
X,5std,10.49
X,7std,10.72
X,1gt4,6.52
X,1gt5,6.10
X,1gt1,6.00
X,1gt3,6.46
X,1g85,5.48
X,1hn2,6.00
X,1g7q,6.06
X,1fzj,8.10
X,1fzk,8.40
X,1fzo,7.89
X,1fzm,7.70
X,2pgz,5.74
X,2bys,9.52
X,2byr,8.55
X,3c84,7.85
X,3c79,7.20
X,1rdt,6.70
X,2i4z,5.70
X,2i4j,6.16
X,2p4y,9.00
X,1fm9,9.00
X,10gs,6.40
X,3gss,5.82
X,11gs,5.82
X,1lbk,3.18
X,2gss,4.94
X,1a08,5.62
X,1a1c,6.40
X,1a1b,6.40
X,1a1e,6.00
X,1is0,7.00
X,2cli,4.30
X,2clh,4.06
X,2clf,3.55
X,2clk,3.79
X,2cle,3.55
X,2qv4,2.54
X,3baj,3.10
X,1u33,4.60
X,1xd1,7.92
X,1xd0,7.12
X,2qwb,2.74
X,2qwc,3.55
X,2qwf,5.67
X,2qwd,4.85
X,2qwe,7.48
X,2g70,7.77
X,2g71,7.46
X,2g72,6.50
X,1hnn,6.24
X,2obf,8.85
X,2flr,6.10
X,1w7x,8.40
X,2b7d,8.70
X,1w0y,6.42
X,2bz6,7.09
X,2rk7,4.05
X,2rk8,3.64
X,2rka,3.00
X,2rke,4.08
X,2rkd,2.72
X,3b3c,3.98
X,3b7i,5.82
X,1ft7,5.18
X,1igb,6.40
X,1txr,7.74
X,2qfu,4.18
X,2qft,5.26
X,2pq9,8.11
X,1x8t,7.80
X,1x8r,6.12
X,1y6q,11.70
X,1y6r,10.11
X,1nc1,6.12
X,1nc3,5.00
X,1jys,3.52
X,1fhd,6.82
X,1fh7,5.24
X,1fh9,6.43
X,1fh8,6.89
X,1j01,6.47
X,1y20,5.32
X,1y1z,3.08
X,1pb9,3.62
X,1pb8,5.15
X,1pbq,6.27
X,1tys,5.49
X,1f4e,2.96
X,1f4g,6.48
X,1f4f,4.62
X,1toj,3.39
X,1tok,2.47
X,1toi,4.05
X,1tog,3.22
X,1x1z,11.06
X,1lor,11.06
X,1loq,3.70
X,1lol,6.39
X,1gni,8.07
X,1hk4,5.31
X,1h9z,5.42
X,1ha2,5.54
X,2d0k,5.02
X,1dhj,6.55
X,1dhi,7.26
X,2drc,9.89
X,1k9s,6.52
X,1pr5,3.92
X,1pr1,5.30
X,1a69,5.30
X,1ugx,5.91
X,1ugw,3.09
X,1ws5,3.03
X,1ws4,3.00
X,2z7h,6.94
X,2e94,8.00
X,2e91,6.59
X,2e92,6.89
X,1j16,3.84
X,1j17,5.22
X,1j14,4.49
X,1ql9,5.35
X,2p7a,6.10
X,2p7g,6.53
X,2p7z,6.58
X,2e2r,8.26
X,1dl7,6.49
X,1mfa,5.04
X,1oar,7.40
X,1oau,7.70
X,1zvx,9.22
X,1jaq,4.48
X,1zs0,6.15
X,1jao,5.92
X,1gz9,3.51
X,1gzc,3.49
X,1axz,3.20
X,1ax0,3.13
X,1ndy,6.17
X,1ndw,5.23
X,1ndv,5.92
X,1ndz,8.11
X,1uwu,5.98
X,1uwt,5.97
X,2ceq,7.28
X,2cer,9.22
X,1m0q,3.89
X,1m0n,2.22
X,1m0o,2.31
X,1zc9,3.22
X,2aov,7.04
X,2aou,7.73
X,1jqd,5.16
X,1jqe,6.44
X,2c02,4.04
X,1hi4,4.49
X,1hi5,4.04
X,1hi3,4.19
X,3bxh,4.03
X,3bxg,4.96
X,3bxf,5.54
X,3bxe,5.48
X,3bkk,6.08
X,3bkl,6.17
X,1o86,9.57
X,2oc2,8.52
X,1fd0,8.40
X,1fcx,7.19
X,1fcy,8.52
X,1fcz,9.22
X,1laf,7.85
X,1lag,6.30
X,1lah,7.52
X,1lst,7.85
Y,1e4h,8.41
Y,1e5a,7.64
Y,2g5u,8.49
Y,2ole,7.25
Y,1n1m,5.70
Y,2oag,8.47
Y,1rnt,5.19
Y,6rnt,2.37
Y,1det,4.30
Y,3cf8,4.90
Y,3b7j,5.17
Y,2glp,5.01
Y,2vba,4.60
Y,2vb8,4.60
Y,1fj4,4.59
Y,2pbw,8.25
Y,2f35,5.40
Y,2f34,6.89
Y,3cow,6.90
Y,3coz,5.57
Y,3coy,6.02
Y,2c97,6.14
Y,2c94,6.82
Y,2c92,5.68
Y,2jj3,9.55
Y,2z4b,9.36
Y,2i0g,9.72
Y,456c,9.77
Y,2d1n,8.15
Y,830c,9.28
Y,2hh5,7.49
Y,2hhn,7.49
Y,2f1g,7.54
Y,1w6y,5.36
Y,1ogx,6.09
Y,1e3v,4.34
Y,1f4x,5.59
Y,1mfd,5.31
Y,2zpk,7.76
Y,2oi0,7.55
Y,3e8r,9.74
Y,3b92,8.00
Y,2c1p,5.40
Y,1yei,7.46
Y,1yej,7.46
Y,2on6,6.76
Y,1rr6,10.25
Y,3bgs,9.42
Y,2ok1,6.26
Y,2o2u,6.40
Y,2o0u,5.49
Y,2bet,2.77
Y,2bes,4.24
Y,2vvp,3.40
Y,2a8g,3.69
Y,2a5b,3.93
Y,2a5c,4.62
Y,2iuz,5.55
Y,1w9u,6.09
Y,1w9v,6.34
Y,1s89,5.24
Y,1ik4,7.41
Y,1egh,5.70
Y,2eg8,4.50
Y,2eg7,5.89
Y,1xge,4.68
Y,2o8h,7.60
Y,2ovv,7.92
Y,2ovy,8.40
Y,2nmx,5.57
Y,2nn7,6.52
Y,2nn1,5.82
Y,1g74,6.52
Y,2ans,5.92
Y,1adl,5.36
Y,2jiw,4.59
Y,2j4g,6.60
Y,2j47,5.41
Y,1pme,9.40
Y,2ojg,5.64
Y,2ojj,8.70
Y,3b9g,4.72
Y,2ff1,8.21
Y,1hp0,6.70
Y,1kf0,2.55
Y,1vjc,3.58
Y,1vjd,3.54
Y,1utl,2.47
Y,1utm,3.01
Y,1utj,3.84
Y,1mrn,4.52
Y,1w2g,4.57
Y,1mrs,3.96
Y,1sgx,5.80
Y,1rle,5.80
Y,1vjj,5.77
Y,1v0k,5.10
Y,1v0l,7.55
Y,1od8,5.10
Y,1oe8,5.52
Y,2c80,5.33
Y,2ca8,4.66
Y,2ccb,7.45
Y,2ccc,7.76
Y,2cc7,8.01
Y,2i2c,4.70
Y,2i2b,2.44
Y,2i2e,4.40
Y,2euk,6.60
Y,2eum,6.70
Y,2evl,6.70
Y,1bhf,4.38
Y,1lkl,5.81
Y,1lkk,6.85
Y,2oyk,5.30
Y,2oyl,6.30
Y,2oym,5.00
Y,1drk,6.82
Y,1drj,7.40
Y,2dri,6.89
Y,1aj7,3.87
Y,1c5c,6.96
Y,1gaf,8.00
Y,2hr6,4.82
Y,2hrm,3.56
Y,1dud,4.82
Y,1g2o,10.55
Y,1n3i,8.89
Y,1i80,6.41
Y,2zcq,8.82
Y,2zcs,8.22
Y,2zcr,6.87
Y,3c2f,2.00
Y,3c2o,3.35
Y,3c2r,3.11
Y,1n0s,7.45
Y,1lnm,8.70
Y,1lke,7.52
Y,1z3t,3.94
Y,1z3v,4.11
Y,1h46,3.57
Y,1mmp,6.07
Y,1mmq,7.52
Y,1mmr,5.40
Y,1hmr,6.55
Y,1hms,6.37
Y,1hmt,5.79
Y,2fqy,6.57
Y,2fqx,7.15
Y,2fqw,6.68
Y,1pzi,4.22
Y,1jqy,4.92
Y,1qiw,7.74
Y,1xa5,6.50
Y,1a8i,5.52
Y,2pyi,3.75
Y,1t5f,4.22
Y,1hqg,3.00
Y,1v1j,4.82
Y,1gu1,4.52
Y,1ew9,3.22
Y,1ew8,2.26
Y,2iko,5.45
Y,2il2,7.10
Y,2fpz,3.96
Y,2za5,8.43
Y,1uv6,5.12
Y,1uw6,7.34
Y,1pzp,3.31
Y,1pzo,3.32
Y,2ov4,4.74
Y,1m83,3.40
Y,3bgq,7.96
Y,3bgz,6.26
Y,2fr3,8.70
Y,2g79,6.92
Y,2amt,4.44
Y,2gzl,4.82
Y,2vsl,8.40
Y,3cm2,6.47
Y,1e2k,4.94
Y,1e2l,4.29
Y,1gwv,2.57
Y,1o7o,4.49
Y,1gz4,3.70
Y,1gz3,3.70
Y,3cl0,7.07
Y,3ckz,8.72
Y,1hii,7.28
Y,1hsh,9.42
Y,1ur9,5.77
Y,1ogg,5.19
Y,2afx,5.15
Y,2afw,4.77
Y,3gst,6.72
Y,2gst,6.07
Y,1q54,5.85
Y,2vnp,9.92
Y,2i3h,7.40
Y,2i3i,7.30
Y,3d94,6.80
Y,2zm3,6.21
Y,1g98,5.70
Y,1koj,6.70
Y,2qdt,5.19
Y,2fu8,4.70
Y,1udt,9.30
Y,1uho,9.22
Y,1td7,4.37
Y,1oxr,5.19
Y,1lee,7.74
Y,1lf2,7.52
Y,1sqn,9.40
Y,1sr7,10.10
Y,3bex,5.57
Y,3bf1,2.52
Y,1upf,4.60
Y,1jlr,3.33
Y,1odi,4.21
Y,1odj,4.10
Y,1erb,8.10
Y,1rbp,6.72
Y,2qta,5.76
Y,1rp7,8.52
Y,1jfh,2.05
Y,1ppi,5.01
Y,1ec9,3.10
Y,1ecq,3.00
Y,1q1g,8.57
Y,1nw4,9.07
Y,2fw6,2.92
Y,2fwp,2.92
Y,1xzx,10.22
Y,1n46,10.52
Y,2h6b,5.39
Y,3e5u,5.85
Y,1qy1,6.52
Y,1qy2,5.74
Y,1oz0,7.70
Y,1thz,5.15
Y,1e6q,3.15
Y,1e6s,3.22
Y,3b5j,5.68
Y,2pmk,5.92
Y,2pwg,4.82
Y,2pwd,4.40
Y,1qin,8.00
Y,2za0,6.64
Y,1wur,6.66
Y,1wuq,8.27
Y,1cgl,6.87
Y,966c,7.64
Y,1add,6.74
Y,1fkw,5.05
Y,1phw,3.30
Y,1g7v,6.40
Y,2nsl,4.68
Y,2nsj,4.79
Y,2jxr,7.05
Y,1fq5,8.40
Y,1z4o,4.52
Y,1z4n,4.52
Y,2jkp,4.23
Y,2jke,4.23
Y,1hyo,4.07
Y,2hzy,7.39
Y,2isw,7.43
Y,2isv,7.43
Y,1fiv,6.59
Y,4fiv,6.52
Y,1x38,8.77
Y,1x39,9.22
Y,1sw1,7.30
Y,1sw2,7.22
Y,1tcw,6.02
Y,1siv,8.08
Y,1pvn,9.82
Y,1lrt,5.64
Y,1usk,6.40
Y,1usi,6.74
Y,2vpn,6.72
Y,2vpo,5.42
Y,2qtg,5.08
Y,2qtt,4.32
Y,1me8,7.19
Y,1me7,7.19
Y,2pqc,5.74
Y,2pqb,7.20
Y,3b50,7.55
Y,2cex,4.70
Y,2gv7,7.85
Y,2gv6,7.34
Y,2fqo,6.43
Y,2fqt,6.14
Y,1ceb,6.00
Y,1cea,4.96
Y,1r1j,8.64
Y,1r1h,8.92
Y,1j36,7.74
Y,1j37,8.96
Y,3c56,7.89
Y,3c52,7.30
Y,1lgt,6.10
Y,1kmy,5.10
Y,2o4r,9.40
Y,2o4j,10.10
Y,2ogy,4.48
Y,2e7f,6.10
Y,1pu7,3.10
Y,1pu8,3.10
Y,1gyy,3.64
Y,1gyx,2.48
Y,1nw7,5.09
Y,1nw5,5.21
Y,2bfr,5.25
Y,2bfq,6.89
Y,3f8c,7.68
Y,3f8f,6.63
Y,1y3n,5.55
Y,1y3p,4.82
Y,2qrl,4.00
Y,2qrk,4.26
Y,1ctt,4.52
Y,1ctu,11.92
Y,2rkg,8.09
Y,2rkf,9.08
Y,1n4h,6.55
Y,1nq7,6.80
Y,1o5e,5.74
Y,1p57,4.40
Y,1uj5,3.05
Y,1uj6,3.05
Y,1aj6,5.92
Y,1kzn,8.92
Y,1vyf,8.05
Y,1vyg,8.00
Y,2q89,6.30
Y,2q88,5.80
Y,4tmk,7.70
Y,5tmp,7.47
Z,2fxu,8.15
Z,1qaw,5.12
Z,1px4,3.23
Z,2vuk,3.90
Z,1kye,7.60
Z,1ado,6.00
Z,1jcx,5.15
Z,1ydk,5.89
Z,1gcz,5.13
Z,2v7a,8.30
Z,1ez9,5.10
Z,1i00,6.34
Z,1s5z,3.21
Z,2hjb,4.39
Z,1ucn,5.22
Z,2jew,6.69
Z,3e5a,8.23
Z,1s63,9.05
Z,1qbq,8.30
Z,1kyv,5.92
Z,2gyi,7.00
Z,2v3d,3.94
Z,1jyq,8.70
Z,1rd4,7.74
Z,1xkk,8.52
Z,1yvm,6.40
Z,1n51,4.85
Z,1q5k,7.42
Z,1icj,2.22
Z,2cht,5.52
Z,1oko,4.54
Z,1bxr,3.40
Z,2vj8,8.70
Z,1lyx,4.54
Z,2gvj,9.52
Z,1a4r,6.66
Z,1ro6,6.46
Z,2aj8,6.20
Z,3f80,4.22
Z,1tpw,3.30
Z,1m5w,4.27
Z,2f2h,5.70
Z,2gvv,3.90
Z,1br6,3.22
Z,1uvt,7.64
Z,1ct8,6.52
Z,1xk9,6.85
Z,1l6m,8.10
Z,1ch8,7.00
Z,2qu6,8.52
Z,3bc3,6.81
Z,1grp,3.72
Z,2bo4,4.61
Z,1r0x,3.83
Z,1ogz,5.85
Z,2h6q,5.11
Z,1njs,7.82
Z,1m48,5.09
Z,1i5r,8.52
Z,1cet,2.89
Z,1r0p,8.00
Z,1db1,9.26
Z,1we2,4.36
Z,1dqx,11.05
Z,1rql,2.75
Z,1bq4,5.22
Z,2j4k,4.85
Z,1jgl,8.70
Z,1m6p,5.10
Z,1ex8,6.33
Z,2jbj,9.70
Z,2dw7,4.70
Z,3b2t,5.21
Z,2fgi,7.34
Z,1eix,11.06
Z,1p19,4.11
Z,1wn6,4.68
Z,2itk,7.69
Z,3d7k,4.60
Z,3d0e,8.40
Z,3cke,6.10
Z,1pa9,4.60
Z,1y0l,9.00
Z,1wc1,4.00
Z,1gar,10.00
Z,1alw,6.52
Z,1ogd,3.03
Z,5yas,3.26
Z,2doo,7.17
Z,3b4p,5.40
Z,2q8z,5.68
Z,2rkp,4.53
Z,1hlk,5.00
Z,1ork,8.81
Z,1bzy,8.34
Z,1dy4,4.36
Z,1ssq,6.00
Z,2hxm,5.22
Z,1dzk,6.10
Z,2rio,4.69
Z,1nli,3.59
Z,2ihj,4.59
Z,1duv,11.80
Z,1n7m,5.71
Z,1tkb,8.00
Z,2cbj,8.27
Z,2ypi,4.82
Z,2e7l,7.54
Z,3ery,5.66
Z,1pfu,2.72
Z,1m13,7.57
Z,3e64,7.11
Z,1m1b,4.66
Z,1wei,9.00
Z,1h1d,8.22
Z,3clp,3.69
Z,1y4z,7.24
Z,3ckb,2.98
Z,2h5a,5.10
Z,3d2e,6.42
Z,2gz2,5.22
Z,3ebl,6.30
Z,2a4m,4.52
Z,1t7d,6.03
Z,1q91,4.15
Z,2gl0,4.82
Z,1wcq,6.26
Z,1pgp,5.70
Z,1uou,7.70
Z,3jdw,3.60
Z,1dfo,6.70
Z,2qpu,3.60
Z,1szd,4.54
Z,1qq9,2.06
Z,2v8w,6.82
Z,2qmj,4.21
Z,1n1t,3.85
Z,1pkx,6.92
Z,2ri9,3.22
Z,2ewb,6.10
Z,3b2q,4.55
Z,1x8j,6.96
Z,3eqr,8.70
Z,2jfz,5.24
Z,2aac,2.22
Z,1b55,7.40
Z,1nki,6.70
Z,1mfi,5.59
Z,2ivu,6.43
Z,1u1w,5.85
Z,1a4k,8.00
Z,1i7z,6.40
Z,1kdk,9.05
Z,2hqu,5.14
Z,1zhy,6.52
Z,1tq4,6.19
Z,1y8o,5.89
Z,2gsu,3.59
Z,1utc,4.55
Z,2vc7,3.36
Z,1xbb,5.30
Z,1drv,6.54
Z,1o9d,5.60
Z,1lyb,11.42
Z,1qji,4.85
Z,1qft,8.77
Z,1lrh,6.82
Z,1h2t,7.89
Z,2o1c,4.72
Z,1swg,7.36
Z,1kc7,5.52
Z,2epn,7.22
Z,1gai,8.00
Z,3cpj,4.72
Z,2pu1,5.85
Z,1efy,8.22
Z,2am4,3.72
Z,2b4l,4.77
Z,1ro7,3.18
Z,1lbf,7.85
Z,2gkl,5.35
Z,2pql,7.28
Z,1n8v,6.03
Z,2bt9,6.19
Z,2p09,6.35
Z,1jak,5.57
Z,1tuf,4.05
Z,2z8e,8.00
Z,2hzl,6.57
Z,2i80,5.40
Z,1oba,2.44
Z,4ts1,4.94
Z,2mas,7.52
Z,2zif,4.37
Z,2bvd,6.00
Z,1c3x,3.68
Z,3czv,7.80
Z,2br6,2.96
Z,1qan,4.48
Z,2vyt,2.74
Z,1oss,4.79
Z,1d6v,6.17
Z,1o8b,2.68
Z,1qca,5.27
Z,3eeb,5.89
Z,1atl,6.28
Z,2fxv,5.35
Z,2r0h,3.51
Z,1kjr,6.06
Z,1ow4,5.68
Z,1bai,7.70
Z,1k1y,3.22
Z,1m7y,10.96
Z,2vk6,5.30
Z,1d2e,6.00
Z,1urg,5.82
Z,2sim,3.42
Z,1pot,5.49
Z,1yon,3.60
Z,2q6f,5.44
Z,1k27,9.00
Z,1qy5,6.70
Z,1wht,3.70
Z,1jt1,3.40
Z,1amk,4.30
Z,1t32,7.42
Z,1ugp,2.89
Z,1t31,8.64
Z,1h4w,4.66
Z,1a0q,7.57
Z,1uwf,6.82
Z,2pv1,7.14
Z,1obx,5.72
Z,2vc9,8.44
Z,2pnc,3.33
Z,1w96,8.41
Z,3c2u,2.90
Z,1a99,5.70
Z,2qm7,5.89
Z,2qry,8.64
Z,1wm1,6.30
Z,1ofz,4.62
Z,2pfy,6.52
Z,2csn,4.41
Z,2rcb,6.79
Z,1rpj,6.48
Z,1vkj,4.85
Z,2r5a,2.60
Z,1xff,4.82
Z,1dqn,8.00
Z,1r4w,4.05
Z,2hf8,5.47
Z,1m2x,4.15
Z,2vt3,4.15
Z,1yfz,4.35
Z,2v54,4.60
Z,1mhw,7.35
Z,1h0a,5.44
Z,1nu3,4.00
Z,1elr,4.96
Z,1fdq,7.27
Z,1x8d,2.21
Z,1jzs,6.60
Z,1lox,5.52
Z,2q8h,3.00
Z,2p4s,9.51
Z,1moq,3.46
Z,1xjd,9.48
Z,1g9r,5.70
Z,2v77,5.06
Z,2dua,4.77
Z,2v3u,3.00
Z,1ii5,6.62
Z,1wdn,6.30
Z,2vfk,3.71
Z,1vyq,5.30
Z,2qm9,7.77
Z,3bu1,8.15
Z,3kiv,4.70
Z,1uz4,3.40
Z,1pdz,3.70
Z,1fch,7.15
Z,2toh,4.15
Z,2h6t,7.22
Z,2r75,6.15
Z,2qv7,3.66
Z,1r9l,5.40
Z,1xt8,6.85
Z,2ews,6.62
Z,2yz3,6.66
Z,1wvc,4.46
Z,1byk,5.00
Z,2qbu,6.19
Z,1r6n,7.40
Z,1nf8,7.82
Z,1ui0,7.06
Z,2qt5,5.03
Z,2qbw,7.25
Z,2qx0,6.11
Z,3brn,8.70
Z,1ws1,9.55
Z,2e5y,5.85
Z,1fao,7.37
Z,2cia,6.43
Z,2p3c,7.62
Z,1x9d,3.96
Z,1yqy,7.62
Z,1ua4,4.22
Z,1n4k,10.05
Z,2v95,8.30
Z,2rcn,6.00
Z,2oi2,6.30
Z,1xap,8.70
Z,2cbz,3.93
Z,2f5t,5.17
Z,1xk5,6.00
Z,1fzq,7.62
Z,1h6h,5.30
Z,2hw2,2.97
Z,1mai,6.68
Z,1ikt,3.40
